Run,GA_popexp_40cities_100pop_500gen,GA_popexp_40cities_100pop_1000gen,GA_popexp_100cities_100pop_500gen,GA_popexp_100cities_100pop_1000gen,1000gen_uni
1,5240.169578,4957.362999,10852.573840,8718.094544,8750.355493
2,5089.331348,4845.903118,9848.470005,8590.160549,9206.178594
3,4902.413218,5041.221858,10127.271137,8503.289303,8610.606993
4,5238.614021,5320.003914,10603.784273,8491.782060,8600.761571
5,5234.532132,5259.943469,10096.084652,8747.273855,8464.748788
6,5091.847403,5110.631026,10500.031874,8503.508510,8804.973696
7,5228.764748,4998.335836,10571.939413,8341.006026,8411.632206
8,5104.878128,5058.686840,9650.167759,8734.731690,8558.431975
9,4949.962070,4804.147049,10620.953767,8666.636609,8588.578832
10,4837.870098,5219.854306,10103.562598,8655.741902,9001.587977
